,Release Date,Season,Episode,Episode Title,Name,Sentence,label,score
22,2011-04-17,Season 1,Episode 1,Winter is Coming,robb stark,Relax your bow arm.,neutral,0.5642498135566711
23,2011-04-17,Season 1,Episode 1,Winter is Coming,jonrobb,"Quick, Bran, faster!",surprise,0.48635807633399963
24,2011-04-17,Season 1,Episode 1,Winter is Coming,cassel,Lord Stark. My lady. A guardsman just rode in from the hills. They've captured a deserter from the Night's Watch.,disgust,0.7373821139335632
25,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,Get the lads to saddle their horses.,neutral,0.8917438983917236
26,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,Do you have to?,surprise,0.5205242037773132
27,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,"He swore an oath, Cat.",disgust,0.36903002858161926
28,2011-04-17,Season 1,Episode 1,Winter is Coming,cassel,"The law is law, my lady.",neutral,0.6730466485023499
29,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,"Tell Bran he's coming, too.",neutral,0.8187596797943115
30,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,Ned. Ten is too young to see such things.,neutral,0.6891784071922302
31,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,He won't be a boy forever. And winter is coming.,neutral,0.8098018169403076
32,2011-04-17,Season 1,Episode 1,Winter is Coming,robb stark,"Lad, go run back and get the rest.",neutral,0.5959311723709106
33,2011-04-17,Season 1,Episode 1,Winter is Coming,will,"White Walkers. I saw the White Walkers. White Walkers. The White Walkers, I saw them.",neutral,0.6369807124137878
34,2011-04-17,Season 1,Episode 1,Winter is Coming,will,"I know I broke my oath. And I know I'm a deserter. I should have gone back to the Wall and warned them. But I saw what I saw. I saw the White Walkers. People need to know. If you can get word to my family, tell them I'm no coward. Tell them I'm sorry.",sadness,0.34984520077705383
35,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,"nods yes, and WILL is positioned on the tree limb that serves as a block.",neutral,0.9185885190963745
36,2011-04-17,Season 1,Episode 1,Winter is Coming,will,"Forgive me, lord.",anger,0.7700168490409851
37,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,"In the name of Robert of the House Baratheon, first of his name …",neutral,0.806705892086029
38,2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,Don't look away.,fear,0.6874539852142334
39,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,King of the Andals and the First Men …,neutral,0.6458383798599243
40,2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,Father will know if you do.,neutral,0.9144960045814514
41,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,"Lord of the Seven Kingdoms and protector of the realm, I, Eddard of the House Stark, Lord of Winterfell and Warden of the North, sentence you to die.",sadness,0.3977236747741699
42,2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,You did well.,neutral,0.6610072255134583
43,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,You understand why I did it?,surprise,0.5485745668411255
44,2011-04-17,Season 1,Episode 1,Winter is Coming,bran stark,Jon said he was a deserter.,disgust,0.5175086259841919
45,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,But do you understand why I had to kill him?,anger,0.44832298159599304
46,2011-04-17,Season 1,Episode 1,Winter is Coming,bran stark,Our way is the old way?,neutral,0.8701440691947937
47,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,The man who passes the sentence should swing the sword.,anger,0.4762660264968872
48,2011-04-17,Season 1,Episode 1,Winter is Coming,bran stark,Is it true he saw the White Walkers?,surprise,0.7165479063987732
49,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,The White Walkers have been gone for thousands of years.,neutral,0.9359434247016907
50,2011-04-17,Season 1,Episode 1,Winter is Coming,bran stark,So he was lying?,surprise,0.3380689024925232
51,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,A madman sees what he sees.,anger,0.4970565736293793
52,2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,What is it?,surprise,0.5850772857666016
53,2011-04-17,Season 1,Episode 1,Winter is Coming,theon greyjoy,Mountain lion?,neutral,0.5718187689781189
54,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,There are no mountain lions in these woods.,neutral,0.8922234177589417
55,2011-04-17,Season 1,Episode 1,Winter is Coming,theon greyjoy,It's a freak.,disgust,0.7113786935806274
56,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,It's a direwolf.,disgust,0.4223427176475525
57,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,Tough old beast.,disgust,0.5945842862129211
58,2011-04-17,Season 1,Episode 1,Winter is Coming,robb stark,There are no direwolves south of the Wall.,neutral,0.9180470108985901
59,2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,Now there are five.,neutral,0.810920774936676
60,2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,You want to hold it?,anger,0.3967698812484741
61,2011-04-17,Season 1,Episode 1,Winter is Coming,bran stark,Where will they go? Their mother's dead.,sadness,0.6840716600418091
62,2011-04-17,Season 1,Episode 1,Winter is Coming,cassel,They don't belong down here.,neutral,0.494938462972641
63,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,Better a quick death. They won't last without their mother.,neutral,0.5008941888809204
64,2011-04-17,Season 1,Episode 1,Winter is Coming,theon greyjoy,Right. Give it here.,neutral,0.8379877209663391
65,2011-04-17,Season 1,Episode 1,Winter is Coming,bran stark,NO!,anger,0.3283575475215912
66,2011-04-17,Season 1,Episode 1,Winter is Coming,robb stark,Put away your blade.,anger,0.7931807041168213
67,2011-04-17,Season 1,Episode 1,Winter is Coming,theon greyjoy,"I take orders from your father, not you.",anger,0.6864618062973022
68,2011-04-17,Season 1,Episode 1,Winter is Coming,bran stark,"Please, father!",anger,0.4434765875339508
69,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,"I'm sorry, Bran.",sadness,0.8756552934646606
70,2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,Lord Stark? There are five pups. One for each of the Stark children. The direwolf is the sigil of your House. They were meant to have them.,neutral,0.9567826390266418
71,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,"You will train them yourselves. You will feed them yourselves. And if they die, you will bury them yourselves.",anger,0.3991621136665344
72,2011-04-17,Season 1,Episode 1,Winter is Coming,bran stark,What about you?,surprise,0.3835504651069641
73,2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,I'm not a Stark. Get on.,anger,0.705891489982605
74,2011-04-17,Season 1,Episode 1,Winter is Coming,robb stark,What is it?,surprise,0.5850772857666016
75,2011-04-17,Season 1,Episode 1,Winter is Coming,theon greyjoy,"The runt of the litter. That one's yours, Snow.",neutral,0.7360547184944153
76,2011-04-17,Season 1,Episode 1,Winter is Coming,jaime lannister,"As your brother, I feel it's my duty to warn you",fear,0.8997835516929626
77,2011-04-17,Season 1,Episode 1,Winter is Coming,cersei lannister,"And you never worry about anything. When we were seven, you jumped off the cliffs as Casterly Rock. One hundred foot drop into the water. And you were never afraid.",fear,0.9411091208457947
78,2011-04-17,Season 1,Episode 1,Winter is Coming,jaime lannister,"There was nothing to be afraid of until you told father. [In a whisper, mimicking] We're Lannisters. Lannisters don't act like fools.",fear,0.883587658405304
79,2011-04-17,Season 1,Episode 1,Winter is Coming,cersei lannister,What if Jon Arryn told someone?,anger,0.5744749307632446
80,2011-04-17,Season 1,Episode 1,Winter is Coming,jaime lannister,But who would he tell?,neutral,0.4700314402580261
81,2011-04-17,Season 1,Episode 1,Winter is Coming,cersei lannister,My husband.,sadness,0.918543815612793
82,2011-04-17,Season 1,Episode 1,Winter is Coming,jaime lannister,"If he told the king, both our heads would be skewered on the city gates by now. Whatever Jon Arryn knew or didn't know, it died with him. And Robert will choose a new Hand of the king, someone to do his job while he's off fucking boars and hunting whores. Or is it the other way around? And life will go on.",anger,0.7748372554779053
83,2011-04-17,Season 1,Episode 1,Winter is Coming,cersei lannister,You should be the Hand of the king.,disgust,0.3538675606250763
84,2011-04-17,Season 1,Episode 1,Winter is Coming,jaime lannister,"That's an honor I can do without. Their days are too long, their lives are too short.",neutral,0.7167891263961792
85,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,All these years and I still feel like an outsider when I come here.,neutral,0.3064556419849396
86,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,You have five northern children. You're not an outsider.,neutral,0.9583103656768799
87,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,I wonder if the old gods agree.,surprise,0.9607738852500916
88,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,It's your gods with all the rules.,neutral,0.9269110560417175
89,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,"I am so sorry, my love.",sadness,0.9784905314445496
90,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,Tell me.,neutral,0.8325085639953613
91,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,There was a raven from Kings Landing. Jon Arryn is dead. A fever took him. I know he was like a father to you.,sadness,0.5987632870674133
92,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,Your sister. The boy …,neutral,0.6324610710144043
93,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,They both have their health. Gods be good. [pause] The raven brought more news. The king rides for Winterfell. With the queen and all the rest of them.,neutral,0.870573878288269
94,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,"He's coming this far North, there's only one thing he's after.",neutral,0.9505849480628967
95,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,"You can always say no, Ned.",neutral,0.5494968891143799
96,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,We need plenty of candles for Lord Tyrion's chamber. I'm told he reads all night.,neutral,0.911638617515564
97,2011-04-17,Season 1,Episode 1,Winter is Coming,maester luwin,I'm told he drinks all night.,neutral,0.7257022857666016
98,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,How much could he possibly drink? A man of his … stature.,surprise,0.467544823884964
99,2011-04-17,Season 1,Episode 1,Winter is Coming,luwin,We've brought up eight barrels of ale from the cellar. Perhaps we'll find out.,neutral,0.9101258516311646
100,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,"In any case, candles.",neutral,0.8996877074241638
101,2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,Why's your mother so dead-set on us getting pretty for the king?,anger,0.635724663734436
102,2011-04-17,Season 1,Episode 1,Winter is Coming,theon greyjoy,"It's for the queen, I bet. I hear she's [sleek as a mink?]",disgust,0.4738525450229645
103,2011-04-17,Season 1,Episode 1,Winter is Coming,robb stark,I hear the prince is a right royal prick.,disgust,0.7732502818107605
104,2011-04-17,Season 1,Episode 1,Winter is Coming,theon greyjoy,Think of all those southern girls he gets to stab with his right royal prick.,anger,0.5241380333900452
105,2011-04-17,Season 1,Episode 1,Winter is Coming,robb stark,"Go on, Tommy, shave him good. He's never met a girl he likes better than his own hair.",neutral,0.5838597416877747
106,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,"Gods, but they grow fast. [Seeing BRAN on the wall] Brandon!",disgust,0.4615752100944519
107,2011-04-17,Season 1,Episode 1,Winter is Coming,bran stark,I saw the king! He's got hundreds of people!,surprise,0.7770422697067261
108,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,How many times have I told you,surprise,0.6572555899620056
109,2011-04-17,Season 1,Episode 1,Winter is Coming,bran stark,But he's coming right now! Down our road!,anger,0.48405805230140686
110,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,I want you to promise me,neutral,0.5457676649093628
111,2011-04-17,Season 1,Episode 1,Winter is Coming,bran stark,I promise.,neutral,0.7003598809242249
112,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,D'you know what?,surprise,0.6594981551170349
113,2011-04-17,Season 1,Episode 1,Winter is Coming,bran stark,What?,surprise,0.9222372174263
114,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,You always look at your feet before you lie. Run and find your father. Tell him the king is close.,neutral,0.35775619745254517
115,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,"Where's Arya? Sansa, where's your sister?",neutral,0.44172194600105286
116,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,"Hey,, hey, hey, hey. What are you doing with that on? [Pulls off ARYA's helm]",joy,0.45774582028388977
117,2011-04-17,Season 1,Episode 1,Winter is Coming,arya stark,Move!,anger,0.5051328539848328
118,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,Your Grace.,neutral,0.836920976638794
119,2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,You've got fat.,disgust,0.8674312829971313
120,2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,Cat!,surprise,0.3289049565792084
121,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,Your Grace.,neutral,0.836920976638794
122,2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,Nine years. Why haven't I seen you? Where the hell have you been?,anger,0.5048758387565613
123,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,"Guarding the North for you, Your Grace. Winterfell is yours.",neutral,0.7416479587554932
124,2011-04-17,Season 1,Episode 1,Winter is Coming,arya stark,Where's the Imp?,neutral,0.8206885457038879
125,2011-04-17,Season 1,Episode 1,Winter is Coming,sansa stark,Will you shut up?,anger,0.9084861874580383
126,2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,"Who have we here? You must be Robb. My, you're a pretty one. Your name is?",surprise,0.8565860390663147
127,2011-04-17,Season 1,Episode 1,Winter is Coming,arya stark,Arya.,neutral,0.49944666028022766
128,2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,Ooh. Show us your muscles. You'll be a soldier.,neutral,0.4123051166534424
129,2011-04-17,Season 1,Episode 1,Winter is Coming,arya stark,That's Jaime Lannister. The queen's twin brother.,neutral,0.8435056209564209
130,2011-04-17,Season 1,Episode 1,Winter is Coming,sansa stark,Would you please shut up.,anger,0.6995353698730469
131,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,My queen.,disgust,0.3586750328540802
132,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,My queen.,disgust,0.3586750328540802
133,2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,Take me to your crypt. I want to pay my respects.,sadness,0.722600519657135
134,2011-04-17,Season 1,Episode 1,Winter is Coming,cersei lannister,"We've been riding for a month, my love. Surely the dead can wait.",neutral,0.763650119304657
135,2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,Ned.,neutral,0.7750337719917297
136,2011-04-17,Season 1,Episode 1,Winter is Coming,cersei lannister,Where is our brother? Go find the little beast.,neutral,0.7900723218917847
137,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,Tell me about Jon Arryn.,neutral,0.931814432144165
138,2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,"One minute he was fine, and then … Burned right through him, whatever it was. I loved that man.",disgust,0.5156700015068054
139,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,We both did.,neutral,0.9015775322914124
140,2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,"He never had to teach you much, but me … You remember me at 16? All I wanted to do was crack skulls and fuck girls. He showed me what was what.",disgust,0.5297715663909912
141,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,Aye.,neutral,0.5630279183387756
142,2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,"Don't look at me like that. Not his fault I didn't listen. I need you, Ned. Down at Kings Landing. Not up here, where you're no damn use to anybody. Lord Eddard Stark, I would name you the Hand of the king.",anger,0.7837950587272644
143,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,I'm not worthy of the honor.,sadness,0.910296618938446
144,2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,"I'm not trying to honor you. I'm trying to get you to run my kingdom while I eat, drink, and whore my way to an early grave. Damn it, Ned, stand up. You helped me win the Iron Throne, now help me keep the damn thing. We were meant to rule together. If your sister had lived, we would have been bound by blood. Well, it's not too late. I have a son, you have a daughter. We'll join our Houses.",anger,0.7044366598129272
145,2011-04-17,Season 1,Episode 1,Winter is Coming,tyrion lannister,Mmh. It is true what they say about the Northern girls.,disgust,0.5050231218338013
146,2011-04-17,Season 1,Episode 1,Winter is Coming,ros,Did you hear the king's in Winterfell?,surprise,0.6073127388954163
147,2011-04-17,Season 1,Episode 1,Winter is Coming,tyrion lannister,I did hear something about that.,neutral,0.7858847975730896
148,2011-04-17,Season 1,Episode 1,Winter is Coming,ros,And the queen. And her twin brother. They say that he is the most handsome man in the Seven Kingdoms.,neutral,0.7930068969726562
149,2011-04-17,Season 1,Episode 1,Winter is Coming,tyrion lannister,And the other brother?,surprise,0.6231828331947327
150,2011-04-17,Season 1,Episode 1,Winter is Coming,ros,The queen has two brothers?,neutral,0.5045929551124573
151,2011-04-17,Season 1,Episode 1,Winter is Coming,tyrion lannister,There's the pretty one. And there's the clever one.,neutral,0.6543475389480591
152,2011-04-17,Season 1,Episode 1,Winter is Coming,ros,I hear they call him the Imp.,neutral,0.7373397946357727
153,2011-04-17,Season 1,Episode 1,Winter is Coming,tyrion lannister,I hear he hates that nickname.,disgust,0.5963749289512634
154,2011-04-17,Season 1,Episode 1,Winter is Coming,ros,Oh? I hear he's more than earned it. I hear he's a drunken little lecher into all manner of perversions.,disgust,0.40775224566459656
155,2011-04-17,Season 1,Episode 1,Winter is Coming,tyrion lannister,Clever girl.,neutral,0.48150473833084106
156,2011-04-17,Season 1,Episode 1,Winter is Coming,ros,"We've been expecting you, Lord Tyrion.",neutral,0.8360231518745422
157,2011-04-17,Season 1,Episode 1,Winter is Coming,tyrion lannister,Have you?,neutral,0.610019326210022
158,2011-04-17,Season 1,Episode 1,Winter is Coming,tyrion lannister,The gods gave me one blessing.,joy,0.5461730360984802
159,2011-04-17,Season 1,Episode 1,Winter is Coming,jaime lannister,Don't get up.,anger,0.38921135663986206
160,2011-04-17,Season 1,Episode 1,Winter is Coming,ros,M'lord.,neutral,0.5880465507507324
161,2011-04-17,Season 1,Episode 1,Winter is Coming,tyrion lannister,"Should I explain to you the meaning of a closed door in a whorehouse, brother?",disgust,0.6346656680107117
162,2011-04-17,Season 1,Episode 1,Winter is Coming,jaime lannister,"You've much to teach me, no doubt. But our sister craves your attention.",neutral,0.6185333728790283
163,2011-04-17,Season 1,Episode 1,Winter is Coming,tyrion lannister,"She has odd cravings, our sister.",neutral,0.6038054823875427
164,2011-04-17,Season 1,Episode 1,Winter is Coming,jaime lannister,"A family trait. Now, the Starks are feasting us at sundown. Don't leave me alone with these people.",disgust,0.48639896512031555
165,2011-04-17,Season 1,Episode 1,Winter is Coming,tyrion lannister,"I'm sorry, I've begun the feast a bit early. And this is the first of many courses.",sadness,0.7876885533332825
166,2011-04-17,Season 1,Episode 1,Winter is Coming,jaime lannister,"I thought you might say that. But since we're short on time, Come on, girls. See you at sundown.",neutral,0.7554274201393127
167,2011-04-17,Season 1,Episode 1,Winter is Coming,tyrion lannister,Close the door!,anger,0.49755746126174927
168,2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,Did you have to bury her in a place like this? She should be on a hill somewhere with the sun and the clouds above her.,disgust,0.49567750096321106
169,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,She was my sister. This is where she belongs.,neutral,0.9462548494338989
170,2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,She belonged with me.,neutral,0.7505425214767456
171,2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,"In my dreams, I kill him every night.",fear,0.8815401196479797
172,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,"It's done, Your Grace. The Targaryens are gone.",neutral,0.899397075176239
173,2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,Not all of them.,neutral,0.9121020436286926
174,2011-04-17,Season 1,Episode 1,Winter is Coming,viserys,Daenerys!,surprise,0.4307667911052704
175,2011-04-17,Season 1,Episode 1,Winter is Coming,viserys,Daenerys! There's our bride to be! Look – a gift from Illyrio. Touch it. Come on. Feel the fabric. Mmmm. Isn't he a gracious host?,surprise,0.3025968372821808
176,2011-04-17,Season 1,Episode 1,Winter is Coming,daenerys targaryen,We've been his guests for over a year and he's never asked us for anything.,neutral,0.9159725904464722
177,2011-04-17,Season 1,Episode 1,Winter is Coming,viserys,"Illyrio is no fool. He knows I won't forget my friends when I come into my throne. You still slouch. Let me see. You have a woman's body now. I need you to be perfect today. Can you do that for me? You don't want to wake the dragon, do you?",anger,0.41922250390052795
178,2011-04-17,Season 1,Episode 1,Winter is Coming,daenerys targaryen,No.,neutral,0.8298870921134949
179,2011-04-17,Season 1,Episode 1,Winter is Coming,viserys,"When they write the history of my reign, sweet sister, they will say it began today.",neutral,0.9749301671981812
180,2011-04-17,Season 1,Episode 1,Winter is Coming,maid,"It's too hot, my lady.",sadness,0.45675739645957947
181,2011-04-17,Season 1,Episode 1,Winter is Coming,viserys,Where is he?,neutral,0.6363359689712524
182,2011-04-17,Season 1,Episode 1,Winter is Coming,illyrio,The Dothraki are not known for their punctuality.,neutral,0.8858746290206909
183,2011-04-17,Season 1,Episode 1,Winter is Coming,illyrio,"May I present my honored guests? Viserys of House Targaryen, the third of his name. The rightful King of the Andals and the First Men. And his sister, Daenerys, of the House Targaryen.",joy,0.5289657711982727
184,2011-04-17,Season 1,Episode 1,Winter is Coming,viserys,"Do you see how long his hair is? When Dothraki are defeated in combat, they cut off their braid so the whole world can see their shame. Khal Drogo has never been defeated. He's a savage, of course, but he's one of the finest killers alive. And you will be his queen.",disgust,0.7102153897285461
185,2011-04-17,Season 1,Episode 1,Winter is Coming,illyrio,"Come forward, my dear.",neutral,0.5597769021987915
186,2011-04-17,Season 1,Episode 1,Winter is Coming,viserys,Where's he going?,neutral,0.45960527658462524
187,2011-04-17,Season 1,Episode 1,Winter is Coming,illyrio,The ceremony is over.,joy,0.4703059792518616
188,2011-04-17,Season 1,Episode 1,Winter is Coming,viserys,But he didn't say anything. Did he like her?,disgust,0.505563497543335
189,2011-04-17,Season 1,Episode 1,Winter is Coming,illyrio,"Trust me, Your Grace. If he didn't like her, we'd know.",fear,0.4299342632293701
190,2011-04-17,Season 1,Episode 1,Winter is Coming,illyrio,It won't be long now. Soon you will cross the Narrow Sea and take back your father's throne. The people drink secret toasts to your health. They cry out for their true king.,anger,0.5716276168823242
191,2011-04-17,Season 1,Episode 1,Winter is Coming,viserys,When will they be married?,neutral,0.5802291035652161
192,2011-04-17,Season 1,Episode 1,Winter is Coming,illyrio,Soon. The Dothraki never stay still for long.,neutral,0.835040807723999
193,2011-04-17,Season 1,Episode 1,Winter is Coming,viserys,Is it true they lie with their horses?,disgust,0.38263827562332153
194,2011-04-17,Season 1,Episode 1,Winter is Coming,illyrio,I wouldn't ask Khal Drogo.,neutral,0.930298924446106
195,2011-04-17,Season 1,Episode 1,Winter is Coming,viserys,Do you take me for a fool?,anger,0.8955248594284058
196,2011-04-17,Season 1,Episode 1,Winter is Coming,illyrio,I take you for a king. Kings lack the caution of common men. My apologies if I've given offense.,anger,0.8380242586135864
197,2011-04-17,Season 1,Episode 1,Winter is Coming,viserys,I know how to play a man like Drogo. I give him a queen and he gives me an army.,neutral,0.8968352675437927
198,2011-04-17,Season 1,Episode 1,Winter is Coming,daenerys targaryen,I don't want to be his queen. I want to go home.,sadness,0.935188889503479
199,2011-04-17,Season 1,Episode 1,Winter is Coming,viserys,"So do I. I want us both to go home. But they took it from us. So tell me, sweet sister, how do we go home?",sadness,0.45959073305130005
200,2011-04-17,Season 1,Episode 1,Winter is Coming,daenerys targaryen,I don't know.,surprise,0.6272881627082825
201,2011-04-17,Season 1,Episode 1,Winter is Coming,viserys,"We go home with an army. With Khal Drogo's army. I would let his whole tribe fuck you, all 40,000 men and their horses too, if that's what it took.",anger,0.6867387294769287
202,2011-04-17,Season 1,Episode 1,Winter is Coming,sansa stark,Do you think Joffrey will like me? What if he thinks I'm ugly?,disgust,0.5632400512695312
203,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,Then he is the stupidest prince that ever lived.,disgust,0.49911054968833923
204,2011-04-17,Season 1,Episode 1,Winter is Coming,sansa stark,He's so handsome.,neutral,0.49317866563796997
205,2011-04-17,Season 1,Episode 1,Winter is Coming,sansa stark,When would we be married? Soon or do we have to wait?,neutral,0.7629027962684631
206,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,Hush now. Your father hasn't even said yes.,disgust,0.6346562504768372
207,2011-04-17,Season 1,Episode 1,Winter is Coming,sansa stark,Why would he say no? He'd be the second most powerful man in the kingdoms.,anger,0.5691407918930054
208,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,He'd have to leave home. He'd have to leave me. And so would you.,neutral,0.4992171823978424
